"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","test1","chromium","Fri Nov 28 21:23:44 IST 2025","failed","Fri Nov 28 21:23:44 IST 2025","","Reporter.spec.js","",""
"","3","test2","chromium","Fri Nov 28 21:23:45 IST 2025","failed","Fri Nov 28 21:23:45 IST 2025","","Reporter.spec.js","",""
"","3","test3","chromium","Fri Nov 28 21:23:45 IST 2025","failed","Fri Nov 28 21:23:45 IST 2025","","Reporter.spec.js","",""
